phone_e164,phone_pretty,scam_category,total_hits,pdf_count,transcript_count,likely_admin,first_source,first_context
+18336317911,+1 (833) 631-7911,,26,0,26,no,transcript:audio-wav-16khz/660764_normalized.wav,"s about to come to an end. You can reach us directly to discuss your options at 833-631-7911. Again, that's 833-631-7911. Thank you."
+18333041447,+1 (833) 304-1447,,25,0,25,no,transcript:audio-wav-16khz/560776_normalized.wav,"'s warranty. Once again, press 1 now or press 2 to be placed on the DNC or call 833-304-1447."
+18667581276,+1 (866) 758-1276,,24,0,24,no,transcript:audio-wav-16khz/1134649_normalized.wav,ou return my call prior to when payments resume. If you could please call me at 866-758-1276 to complete your application and finalize your enrollment as soon as possible.
+17244428039,+1 (724) 442-8039,Utility-SupplyCharges,15,1,10,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,1)(v) https://portal.tracebacks.org/api/public/at 16 C.F.R. 7/18/2023 7/17/2023 17244428039 Utility-SupplyCharges tachments/1348038 § 310.4(b)(1)(v) https://portal.traceba
+17244428041,+1 (724) 442-8041,Utility-SupplyCharges,11,1,8,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,1)(v) https://portal.tracebacks.org/api/public/at 16 C.F.R. 7/18/2023 7/17/2023 17244428041 Utility-SupplyCharges tachments/1348042 § 310.4(b)(1)(v) https://portal.traceba
+13152328257,+1 (315) 232-8257,,8,0,8,no,transcript:audio-wav-16khz/58345_normalized.wav,"in. Or if you wish to contact us later, please call us on our toll-free number, 315-232-8257. Thank you."
+18552284781,+1 (855) 228-4781,,8,0,8,no,transcript:audio-wav-16khz/274452_normalized.wav,"OVID-19 relief payment, and you can reach me at my state assigned phone number, 855-228-4781, and it's my job to make you aware that because you qualified for a relief paym"
+17144064370,+1 (714) 406-4370,,8,0,8,no,transcript:audio-wav-16khz/s6diZGlyXzRiOWRpcjp0b21jYXQ2NDkzOjE2MTkxOTM4NTkxMTRBTZDSgD.gen_DID_Central_Robocall__StudentLoan_-_New_Changes_normalized.wav,"back as soon as possible today, that would be great. My direct phone number is 714-406-4370. Again, that is 714-406-4370. Also, if you could have your reference number rea"
+18448770123,+1 (844) 877-0123,,8,0,8,no,transcript:audio-wav-16khz/274461_normalized.wav,"OVID-19 release payment and you can reach me at my state assigned phone number, 844-877-0123. And it's my job to make you aware that because you qualified for a release pay"
+18447172335,+1 (844) 717-2335,,6,0,6,no,transcript:audio-wav-16khz/s6diZGlyX21qOGRpcjp0b21jYXQ5MDg4OjE2NzE1NjM3MTczMDhTy6fkMg.gen_Telcentris_Robocall__StudentLoan-ProcessingCenter_normalized.wav,eturn my call today to complete your application If you could please call me at 844-717-2335 to complete your application and finalize your enrollment as soon as possible A
+17575985544,+1 (757) 598-5544,Utility-30MinDisconnect,4,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,1)(v) https://portal.tracebacks.org/api/public/at 16 C.F.R. 9/12/2022 9/10/2022 7575985544 Utility-30MinDisconnect tachments/1031590 § 310.4(b)(1)(v) https://portal.trace
+18602646919,+1 (860) 264-6919,,4,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,022 2522282495 Tech Support-Lumen § 310.4(b)(1)(v) 16 C.F.R. 5/5/2022 4/25/2022 8602646919 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 5/5/2022 3/15/2022 2064159860 Amazo
+18008693557,+1 (800) 869-3557,,4,2,0,no,pdf:pointofnoentry-identidadcease-desistletter.pdf,e/Wireless-Impers chments/1367174 § 310.4(b)(1)(v) 16 C.F.R. 9/1/2023 8/19/2023 18008693557 Financial-Impers-7 § 310.4(b)(1)(v) https://portal.tracebacks.org/api/public/at
+18882071288,+1 (888) 207-1288,Discount-Avail50%,4,2,2,no,pdf:pointofnoentry-peerlessceasedesistletterfinaljms.pdf,b)(1)(v) https://portal2.tracebacks.org/api/public/ 16 C.F.R. 3/5/2021 3/4/2021 8882071288 Discount-Avail50% attachments/64111 310.4(b)(1)(v) https://portal2.tracebacks.o
+18446491413,+1 (844) 649-1413,,4,0,4,no,transcript:audio-wav-16khz/942979_normalized.wav,"s qualified for 50% off. In order to avail the discount, kindly call us back at 844-649-1413 from 8 a.m. to 5 p.m. Pacific Standard Time. Thank you and have a great day."
+18554577745,+1 (855) 457-7745,,4,0,4,no,transcript:audio-wav-16khz/841748_normalized.wav,"s qualified for 50% off. In order to avail the discount, kindly call us back at 855-457-7745 from 8 a.m. till 9 p.m. Pacific Standard Time. Thank you and have a great day."
+17244428043,+1 (724) 442-8043,Utility-SupplyCharges,3,1,2,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,1)(v) https://portal.tracebacks.org/api/public/at 16 C.F.R. 7/18/2023 7/17/2023 17244428043 Utility-SupplyCharges tachments/1348032 § 310.4(b)(1)(v) https://portal.traceba
+14408256044,+1 (440) 825-6044,Utility-SupplyCharges,3,1,2,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,1)(v) https://portal.tracebacks.org/api/public/at 16 C.F.R. 7/13/2023 7/12/2023 14408256044 Utility-SupplyCharges tachments/1342644 § 310.4(b)(1)(v) 16 C.F.R. 10/12/2022 9
+18053215810,+1 (805) 321-5810,,3,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,2022 7866525838 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 8/11/2022 7/25/2022 8053215810 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 8/11/2022 7/23/2022 8053215810 Amaz
+18022674636,+1 (802) 267-4636,LawEnforcement-Impers,3,1,2,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,(1)(v) https://portal.tracebacks.org/api/public/at 16 C.F.R. 4/11/2022 4/6/2022 8022674636 LawEnforcement-Impers tachments/803975 § 310.4(b)(1)(v) 16 C.F.R. 4/6/2022 2/18
+18056786346,+1 (805) 678-6346,,3,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,/2022 8059128265 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 3/2/2022 2/10/2022 8056786346 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 3/1/2022 3/1/2022 2063978332 SSA-La
+19179089531,+1 (917) 908-9531,,3,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,2022 7863103803 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 2/4/2022 12/15/2021 9179089531 Grandparentscam § 310.4(b)(1)(v) 16 C.F.R. 2/4/2022 12/14/2021 9179089531 Grand
+17865889078,+1 (786) 588-9078,,3,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,0/2021 3852382730 Amazon-Impers § 310.4(b)(1)(v) 16 C.F.R. 12/10/2021 10/6/2021 7865889078 ATT-Impers § 310.4(b)(1)(v) 16 C.F.R. 12/10/2021 10/6/2021 7865889078 ATT-Imper
+14125414387,+1 (412) 541-4387,,3,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,085718 Amazon-AccountCompromised § 310.4(b)(1)(v) 16 C.F.R. 10/4/2021 10/1/2021 4125414387 PayPal-Impers § 310.4(b)(1)(v) 16 C.F.R. 10/4/2021 10/1/2021 4125414387 PayPal-
+12063385669,+1 (206) 338-5669,,3,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,16306871 Amazon-SuspiciousCharge § 310.4(b)(1)(v) 16 C.F.R. 10/1/2021 9/21/2021 2063385669 LawEnforcement-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 10/1/2021 9/21/2021 2063385
+12028337500,+1 (202) 833-7500,Utility Disconnection,3,1,0,no,pdf:pointofnoentry-callvoxllcwarningletter.pdf,") https://portal.tracebacks.org/api/public/ 16 C.F.R. Aug 04, 2021 Jul 29, 2021 2028337500 Utility Disconnection attachments/310553 § 310.4(b)(1)(v) https://portal.traceb"
