file_name,language,transcript,case_details,case_pdf
audio-wav-16khz/1112259_normalized.wav,en,"We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",cease-desist-letter-every1-telecom,pdf_files/pointofnoentry-every1telecomceasedesistletterfinaljms.pdf
audio-wav-16khz/58345_normalized.wav,en,"to connect with Apple Support Advisor. Press 2 to listen to this message again. Or if you wish to contact us later, please call us on our toll-free number, 315-232-8257. Thank you. ",cease-desist-letter-peerless-network-inc,pdf_files/pointofnoentry-peerlessceasedesistletterfinaljms.pdf
audio-wav-16khz/936704_normalized.wav,en,"Hello. This call is to inform you that a pre-authorized order has been placed on your name. So to authorize the order, or to talk to our representative, please press 1 or stay on the line. Thank you. Goodbye. ",cease-desist-letter-one-eye-llc,pdf_files/pointofnoentry-oneeyecdletter.pdf
audio-wav-16khz/1100696_normalized.wav,en,"one to start your claim. Otherwise, press 2 to speak with the billing department. ",cease-desist-letter-business-telecommunications-services-inc,pdf_files/pointofnoentry-businesstelecomceasedesistletterfinaljms.pdf
audio-wav-16khz/807777_normalized.wav,en,"Thank you for choosing Hilton Hotels. We would like to inform you that thanks to the Friends and Family Rewards program, your membership is drawn to receive a complimentary stay. For further details, press 1 now. To be placed on the Do Not Call list, press 2 now. ",cease-desist-letter-hfa-services-llc-also-dba-call48,pdf_files/pointofnoentry-hfaservsceasedesistletterfinaljms.pdf
audio-wav-16khz/520125_normalized.wav,en,"On your excellent payment history, you now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. ",warning-letter-rscom-ltd-0,pdf_files/pointofnoentry-rscomwarningletter.pdf
audio-wav-16khz/1638881759.18243_in_Family_Communication_Robocall__Amazon-SuspiciousCharge_normalized.wav,en,"Hi, this is Daniel from Amazon customer service. We have seen a recent order number, AMZ0987, of iPhone 11 Pro on your account, which is billed on your card attached to your Amazon account. The amount charged in $1499. We noticed some suspicious activity on your account. So we have put in hold to this transaction. Please press 1 now. And to report please press 2. Thank you. ",cease-desist-letter-family-communication-inc,pdf_files/pointofnoentry-familycommcdletter.pdf
audio-wav-16khz/598182_normalized.wav,en,"is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you. ",cease-desist-letter-cherry-voice-inc,pdf_files/pointofnoentry-cherryvoiceceasedesistletterfinaljms.pdf
audio-wav-16khz/520014_normalized.wav,en,"Greetings, this is an automated message from the Disconnection Department of the Marva Power and Light to inform you that you will be experiencing a disconnection of service today within 30 minutes. Please press 1 to speak to a representative. Thank you. ",cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/660764_normalized.wav,en,"Hi, this is Melissa with Student Support Center. I am following up in regards to your outstanding federal student loan balance. We have been trying to reach you because you are eligible for the Federal Student Loan Forgiveness Program due to the changes made in 2022. It's imperative that we speak to you as soon as possible since the student loan payment delay is about to come to an end. You can reach us directly to discuss your options at 833-631-7911. Again, that's 833-631-7911. Thank you. ",cease-desist-letter-great-choice-telecom-llc,pdf_files/pointofnoentry-greatchoicecdletter_0.pdf
audio-wav-16khz/568965_normalized.wav,en,"this is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff and this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press 5 now or press 9 to be removed from our list. Hi this is Susie calling ",cease-desist-letter-did-central-llc,pdf_files/pointofnoentry-didcentralceasedesistletterfinaljms.pdf
audio-wav-16khz/719755_normalized.wav,en,"The very second you receive this message, you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect Investigation Officer, Press 1. And you will be connected to the Concerned Department. If we don't hear from you, then we will be forced to take legal action against you. ",cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/719750_normalized.wav,en,"The very second you receive this message, you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect Investigation Officer, Press 1. And you will be connected to the Concerned Department. If we don't hear from you, then we will be forced to take legal action against you. ",cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/1205446_normalized.wav,en,"please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnections department. Thank you for choosing our services. ",cease-desist-letter-every1-telecom,pdf_files/pointofnoentry-every1telecomceasedesistletterfinaljms.pdf
audio-wav-16khz/241125_normalized.wav,en,"This message is intended to contact you, regarding a legal enforcement action executed under your social security number for suspicious and fraudulent activities committed in the state of Texas. And we just suspended your social security number. Ignoring this will be an intentional second attempt, to avoid initial appearance before magistrate, judge, or grand jury for a federal criminal offense, this is the final attempt to reach you, so if you want to know about this case just press 1. ",warning-letter-inteliquent-inc,pdf_files/pointofnoentry-inteliquentwarningletter.pdf
